timestamp,message
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 cloud-init: ci-info: |   1   | 169.254.169.254 |  0.0.0.0   | 255.255.255.255 |    eth0   |   UH  |
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 cloud-init: ci-info: |   2   |    172.31.0.0   |  0.0.0.0   |  255.255.240.0  |    eth0   |   U   |
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 cloud-init: ci-info: +-------+-----------------+------------+-----------------+-----------+-------+
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 cloud-init: ci-info: +++++++++++++++++++Route IPv6 info+++++++++++++++++++
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 cloud-init: ci-info: +-------+-------------+---------+-----------+-------+
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 cloud-init: ci-info: | Route | Destination | Gateway | Interface | Flags |
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 cloud-init: ci-info: +-------+-------------+---------+-----------+-------+
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 cloud-init: ci-info: |   9   |  fe80::/64  |    ::   |    eth0   |   U   |
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 cloud-init: ci-info: |   11  |    local    |    ::   |    eth0   |   U   |
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 cloud-init: ci-info: |   12  |  multicast  |    ::   |    eth0   |   U   |
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 cloud-init: ci-info: +-------+-------------+---------+-----------+-------+
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 systemd: Started Postfix Mail Transport Agent.
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 dbus[2630]: [system] Activating via systemd: service name='org.freedesktop.hostname1' unit='dbus-org.freedesktop.hostname1.service'
1687153669000,Jun 19 05:47:49 ip-172-31-1-10 systemd: Starting Hostname Service...
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 kernel: xfs filesystem being remounted at /tmp supports timestamps until 2038 (0x7fffffff)
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 kernel: xfs filesystem being remounted at /var/tmp supports timestamps until 2038 (0x7fffffff)
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 dbus[2630]: [system] Successfully activated service 'org.freedesktop.hostname1'
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Started Hostname Service.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd-hostnamed: Changed static host name to 'ip-172-31-1-10.ap-south-1.compute.internal'
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd-hostnamed: Changed host name to 'ip-172-31-1-10.ap-south-1.compute.internal'
1687153670000,"Jun 19 05:47:50 ip-172-31-1-10 dhclient[2930]: XMT: Solicit on eth0, interval 2080ms."
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Started Initial cloud-init job (metadata service crawler).
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Reached target Cloud-config availability.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Starting Permit User Sessions...
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Starting OpenSSH Server Key Generation...
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Reached target Network is Online.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Starting Notify NFS peers of a restart...
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Starting System Logging Service...
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Starting Finds and configures elastic network interfaces...
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Starting Apply the settings specified in cloud-config...
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Started amazon-ssm-agent.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Starting Dynamically Generate Message Of The Day...
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 sm-notify[3129]: Version 1.3.0 starting
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 ec2net: [ec2ifscan] Scanning for unconfigured interfaces
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Started Permit User Sessions.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Started Notify NFS peers of a restart.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Started Command Scheduler.
1687153670000,"Jun 19 05:47:50 ip-172-31-1-10 rsyslogd: [origin software=""rsyslogd"" swVersion=""8.24.0-57.amzn2.2.0.2"" x-pid=""3130"" x-info=""http://www.rsyslog.com""] start"
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Started Job spooling tools.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Starting Terminate Plymouth Boot Screen...
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Starting Wait for Plymouth Boot Screen to Quit...
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Started System Logging Service.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Started Finds and configures elastic network interfaces.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 amazon-ssm-agent: Error occurred fetching the seelog config file path:  open /etc/amazon/ssm/seelog.xml: no such file or directory
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 amazon-ssm-agent: Initializing new seelog logger
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 amazon-ssm-agent: New Seelog Logger Creation Complete
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:50 INFO Proxy environment variables:
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:50 INFO http_proxy:
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:50 INFO no_proxy:
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:50 INFO https_proxy:
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Received SIGRTMIN+21 from PID 2478 (plymouthd).
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Started Terminate Plymouth Boot Screen.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Started Wait for Plymouth Boot Screen to Quit.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Started Serial Getty on ttyS0.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Started Getty on tty1.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:50 INFO Agent will take identity from EC2
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 systemd: Reached target Login Prompts.
1687153670000,Jun 19 05:47:50 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:50 INFO [amazon-ssm-agent] using named pipe channel for IPC
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:50 INFO [amazon-ssm-agent] using named pipe channel for IPC
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:50 INFO [amazon-ssm-agent] using named pipe channel for IPC
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 sshd-keygen: Generating SSH2 RSA host key: [  OK  ]
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:50 INFO [amazon-ssm-agent] amazon-ssm-agent - v3.1.1732.0
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 sshd-keygen: Generating SSH2 ECDSA host key: [  OK  ]
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 sshd-keygen: Generating SSH2 ED25519 host key: [  OK  ]
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 systemd: Started OpenSSH Server Key Generation.
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 systemd: Starting OpenSSH server daemon...
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 systemd: Started OpenSSH server daemon.
1687153671000,"Jun 19 05:47:51 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:50 INFO [amazon-ssm-agent] OS: linux, Arch: amd64"
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:50 INFO [CredentialRefresher] Identity does not require credential refresher
1687153671000,"Jun 19 05:47:51 ip-172-31-1-10 cloud-init: Cloud-init v. 19.3-46.amzn2.0.1 running 'modules:config' at Mon, 19 Jun 2023 05:47:51 +0000. Up 19.49 seconds."
1687153671000,"Jun 19 05:47:51 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:51 INFO [amazon-ssm-agent] [LongRunningWorkerContainer] [WorkerProvider] Worker ssm-agent-worker is not running, starting worker process"
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 systemd: Stopping OpenSSH server daemon...
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 systemd: Stopped OpenSSH server daemon.
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 systemd: Stopped OpenSSH Server Key Generation.
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 systemd: Stopping OpenSSH Server Key Generation...
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 systemd: Starting OpenSSH server daemon...
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 systemd: Started OpenSSH server daemon.
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:51 INFO [amazon-ssm-agent] [LongRunningWorkerContainer] [WorkerProvider] Worker ssm-agent-worker (pid:3202) started
1687153671000,Jun 19 05:47:51 ip-172-31-1-10 amazon-ssm-agent: 2023-06-19 05:47:51 INFO [amazon-ssm-agent] [LongRunningWorkerContainer] Monitor long running worker health every 60 seconds
1687153672000,"Jun 19 05:47:52 ip-172-31-1-10 dhclient[2930]: XMT: Solicit on eth0, interval 3990ms."
1687153672000,"Jun 19 05:47:52 ip-172-31-1-10 cloud-init: Loaded plugins: extras_suggestions, langpacks, priorities, update-motd"
1687153673000,Jun 19 05:47:53 ip-172-31-1-10 chronyd[2664]: Selected source 169.254.169.123
1687153676000,"Jun 19 05:47:56 ip-172-31-1-10 dhclient[2930]: XMT: Solicit on eth0, interval 7950ms."
1687153679000,Jun 19 05:47:59 ip-172-31-1-10 cloud-init: No packages needed for security; 0 packages available
1687153679000,Jun 19 05:47:59 ip-172-31-1-10 cloud-init: No packages marked for update
1687153679000,Jun 19 05:47:59 ip-172-31-1-10 systemd: Started Apply the settings specified in cloud-config.
1687153679000,Jun 19 05:47:59 ip-172-31-1-10 systemd: Starting Execute cloud user/final scripts...
